RNA_cell_ID	Perturbation
CH04.pl2.B9_S121	NG
CH04.pl2.C10_S134	MT
CH04.pl2.C11_S135	WT
CH04.pl2.C12_S136	WT
CH04.pl2.C1_S125	WT
CH04.pl2.C2_S126	WT
CH04.pl2.C3_S127	WT
CH04.pl2.C4_S128	WT
CH04.pl2.C6_S130	WT
CH04.pl2.C7_S131	MT
CH04.pl2.C8_S132	WT
CH04.pl2.C9_S133	WT
CH04.pl2.D10_S146	WT
CH04.pl2.D11_S147	WT
CH04.pl2.D12_S148	WT
CH04.pl2.D1_S137	WT
CH04.pl2.D2_S138	WT
CH04.pl2.D3_S139	MT
CH04.pl2.D4_S140	WT
CH04.pl2.D5_S141	NG
CH04.pl2.D6_S142	WT
CH04.pl2.D7_S143	NG
CH04.pl2.D8_S144	WT
CH04.pl2.D9_S145	WT
CH04.pl2.E10_S158	MT
CH04.pl2.E11_S159	MT
CH04.pl2.E12_S160	NG
CH04.pl2.E1_S149	WT
CH04.pl2.E2_S150	WT
CH04.pl2.E3_S151	WT
CH04.pl2.E4_S152	WT
CH04.pl2.E5_S153	WT
CH04.pl2.E6_S154	MT
CH04.pl2.E7_S155	NG
CH04.pl2.E8_S156	MT
CH04.pl2.E9_S157	WT
CH04.pl2.F10_S170	NG
CH04.pl2.F11_S171	WT
CH04.pl2.F12_S172	WT
CH04.pl2.F1_S161	WT
CH04.pl2.F2_S162	WT
CH04.pl2.F3_S163	MT
CH04.pl2.F4_S164	WT
CH04.pl2.F5_S165	WT
CH04.pl2.F6_S166	WT
CH04.pl2.F7_S167	WT
CH04.pl2.F8_S168	MT
CH04.pl2.G10_S182	WT
CH04.pl2.G11_S183	WT
CH04.pl2.G12_S184	WT
CH04.pl2.G1_S173	WT
CH04.pl2.G2_S174	WT
CH04.pl2.G4_S176	WT
CH04.pl2.G5_S177	WT
CH04.pl2.G6_S178	WT
CH04.pl2.G7_S179	NG
CH04.pl2.G8_S180	WT
CH04.pl2.G9_S181	MT
CH04.pl2.H10_S194	NG
CH04.pl2.H11_S195	NG
CH04.pl2.H12_S196	WT
CH04.pl2.H1_S185	MT
CH04.pl2.H2_S186	WT
CH04.pl2.H3_S187	MT
CH04.pl2.H4_S188	MT
CH04.pl2.H5_S189	WT
CH04.pl2.H6_S190	MT
CH04.pl2.H7_S191	WT
CH04.pl2.H8_S192	WT
CH04.pl2.H9_S193	WT
CH04.3.cDNA.A10_S210	WT
CH04.3.cDNA.A12_S212	MT
CH04.3.cDNA.A1_S201	MT
CH04.3.cDNA.A2_S202	WT
CH04.3.cDNA.A3_S203	MT
CH04.3.cDNA.A4_S204	WT
CH04.3.cDNA.A5_S205	MT
CH04.3.cDNA.A6_S206	WT
CH04.3.cDNA.A7_S207	MT
CH04.3.cDNA.A8_S208	MT
CH04.3.cDNA.A9_S209	WT
CH04.3.cDNA.B10_S222	NG
CH04.3.cDNA.B11_S223	WT
CH04.3.cDNA.B12_S224	NG
CH04.3.cDNA.B1_S213	WT
CH04.3.cDNA.B2_S214	WT
CH04.3.cDNA.B4_S216	NG
CH04.3.cDNA.B5_S217	NG
CH04.3.cDNA.B6_S218	WT
CH04.3.cDNA.B7_S219	WT
CH04.3.cDNA.B9_S221	WT
CH04.3.cDNA.C10_S234	MT
CH04.3.cDNA.C11_S235	MT
CH04.3.cDNA.C12_S236	MT
CH04.3.cDNA.C1_S225	WT
CH04.3.cDNA.C2_S226	MT
CH04.3.cDNA.C3_S227	MT
CH04.3.cDNA.C4_S228	WT
CH04.3.cDNA.C5_S229	WT
CH04.3.cDNA.C6_S230	MT
CH04.3.cDNA.C7_S231	MT
CH04.3.cDNA.C8_S232	WT
CH04.3.cDNA.C9_S233	MT
CH04.3.cDNA.D10_S246	MT
CH04.3.cDNA.D11_S247	NG
CH04.3.cDNA.D12_S248	MT
CH04.3.cDNA.D1_S237	MT
